"station_name","unique_users"
"Grove St PATH","28736"
"Exchange Place","19014"
"Sip Ave","17137"
"Hamilton Park","15300"
"Newport PATH","13363"
"Brunswick St","9573"
"Essex Light Rail","9462"
"Newark Ave","9168"
"Newport Pkwy","9031"
"Van Vorst Park","8579"
"Warren St","8344"
"Paulus Hook","7807"
"City Hall","7791"
"McGinley Square","7274"
"Liberty Light Rail","6578"
"Morris Canal","5948"
"JC Medical Center","4687"
"Baldwin at Montgomery","4529"
"Marin Light Rail","4163"
"Oakland Ave","3979"
"Jersey & 6th St","3847"
"Jersey & 3rd","3395"
"Monmouth and 6th","3393"
"Pershing Field","3313"
"Lincoln Park","3184"
"Columbus Drive","2770"
"Dixon Mills","2738"
"5 Corners Library","2729"
"Hilltop","2593"
"Christ Hospital","2366"
"Central Ave","2234"
"Dey St","2191"
"Heights Elevator","1793"
"Riverview Park","1774"
"Manila & 1st","1765"
"North St","1664"
"Garfield Ave Station","924"
"Brunswick & 6th","859"
"Lafayette Park","835"
"Leonard Gordon Park","558"
"NJCU","519"
"Union St","356"
"Bayside Park","345"
"MLK Light Rail","243"
"West Side Light Rail","240"
"Columbia Park","192"
"Astor Place","177"
"Danforth Light Rail","60"
"Communipaw & Berry Lane","34"
"Bethune Center","29"
"JCBS Depot","1"
